3.000000,-2.000000,0;2.300000,-2.000000,0;1.600000,-2.000000,0;0.900000,-2.000000,0;0.200000,-2.000000,0;-0.500000,-2.000000,0;-1.200000,-2.000000,0;-1.900000,-2.000000,0;
3.000000,-2.000000,1;2.300000,-2.000000,1;1.600000,-2.000000,1;0.900000,-2.000000,1;0.200000,-2.000000,1;-0.500000,-2.000000,1;-1.200000,-2.000000,1;-1.900000,-2.000000,1;
3.000000,-2.000000,2;2.300000,-2.000000,2;1.600000,-2.000000,2;0.900000,-2.000000,2;0.200000,-2.000000,2;-0.500000,-2.000000,2;-1.200000,-2.000000,2;-1.900000,-2.000000,2;
2.997900,-1.999995,3;2.297900,-1.999994,3;1.597900,-1.999993,3;0.897900,-1.999991,3;0.197900,-1.999988,3;-0.502100,-1.999980,3;-1.202100,-1.999979,3;-1.902100,-1.999979,3;
2.995586,-1.999991,4;2.295586,-1.999989,4;1.595586,-1.999987,4;0.895586,-1.999983,4;0.195586,-1.999976,4;-0.504414,-1.999961,4;-1.204414,-1.999958,4;-1.904414,-1.999958,4;
2.993275,-1.999986,5;2.293275,-1.999984,5;1.593275,-1.999980,5;0.893275,-1.999974,5;0.193275,-1.999964,5;-0.506725,-1.999942,5;-1.206725,-1.999938,5;-1.906725,-1.999938,5;
2.990965,-1.999982,6;2.290965,-1.999978,6;1.590965,-1.999974,6;0.890965,-1.999966,6;0.190965,-1.999953,6;-0.509035,-1.999924,6;-1.209035,-1.999918,6;-1.909035,-1.999918,6;
2.988655,-1.999977,7;2.288655,-1.999973,7;1.588655,-1.999967,7;0.888655,-1.999958,7;0.188655,-1.999942,7;-0.511345,-1.999905,7;-1.211345,-1.999898,7;-1.911345,-1.999899,7;
2.986345,-1.999973,8;2.286345,-1.999968,8;1.586345,-1.999961,8;0.886345,-1.999950,8;0.186345,-1.999931,8;-0.513655,-1.999888,8;-1.213655,-1.999879,8;-1.913655,-1.999879,8;
2.984034,-1.999969,9;2.284034,-1.999963,9;1.584034,-1.999955,9;0.884034,-1.999942,9;0.184034,-1.999920,9;-0.515965,-1.999870,9;-1.215965,-1.999861,9;-1.915965,-1.999861,9;
2.981724,-1.999965,10;2.281724,-1.999958,10;1.581724,-1.999949,10;0.881724,-1.999935,10;0.181724,-1.999909,10;-0.518275,-1.999853,10;-1.218275,-1.999842,10;-1.918275,-1.999843,10;
2.979414,-1.999961,11;2.279414,-1.999954,11;1.579414,-1.999943,11;0.879414,-1.999927,11;0.179414,-1.999899,11;-0.520586,-1.999836,11;-1.220585,-1.999824,11;-1.920585,-1.999825,11;
2.977104,-1.999957,12;2.277104,-1.999949,12;1.577104,-1.999938,12;0.877104,-1.999920,12;0.177104,-1.999889,12;-0.522896,-1.999819,12;-1.222896,-1.999806,12;-1.922896,-1.999807,12;
2.974793,-1.999953,13;2.274793,-1.999944,13;1.574793,-1.999932,13;0.874793,-1.999913,13;0.174794,-1.999879,13;-0.525206,-1.999803,13;-1.225206,-1.999789,13;-1.925206,-1.999790,13;
2.972483,-1.999949,14;2.272483,-1.999940,14;1.572483,-1.999927,14;0.872483,-1.999906,14;0.172483,-1.999869,14;-0.527516,-1.999787,14;-1.227516,-1.999772,14;-1.927516,-1.999774,14;
2.970173,-1.999945,15;2.270173,-1.999936,15;1.570173,-1.999921,15;0.870173,-1.999899,15;0.170173,-1.999859,15;-0.529826,-1.999772,15;-1.229826,-1.999755,15;-1.929826,-1.999757,15;
2.967863,-1.999942,16;2.267863,-1.999931,16;1.567863,-1.999916,16;0.867863,-1.999892,16;0.167863,-1.999850,16;-0.532136,-1.999756,16;-1.232136,-1.999739,16;-1.932136,-1.999742,16;
2.965552,-1.999938,17;2.265552,-1.999927,17;1.565553,-1.999911,17;0.865553,-1.999885,17;0.165553,-1.999840,17;-0.534447,-1.999741,17;-1.234446,-1.999722,17;-1.934447,-1.999726,17;
2.963242,-1.999935,18;2.263242,-1.999923,18;1.563242,-1.999906,18;0.863242,-1.999879,18;0.163243,-1.999831,18;-0.536757,-1.999726,18;-1.236757,-1.999707,18;-1.936757,-1.999711,18;
2.960932,-1.999931,19;2.260932,-1.999919,19;1.560932,-1.999901,19;0.860932,-1.999872,19;0.160932,-1.999822,19;-0.539067,-1.999712,19;-1.239067,-1.999691,19;-1.939067,-1.999697,19;
2.958622,-1.999928,20;2.258622,-1.999915,20;1.558622,-1.999896,20;0.858622,-1.999866,20;0.158622,-1.999813,20;-0.541377,-1.999698,20;-1.241377,-1.999676,20;-1.941377,-1.999683,20;
2.956312,-1.999924,21;2.256312,-1.999911,21;1.556312,-1.999891,21;0.856312,-1.999860,21;0.156312,-1.999805,21;-0.543687,-1.999684,21;-1.243687,-1.999661,21;-1.943687,-1.999669,21;
2.954001,-1.999921,22;2.254001,-1.999907,22;1.554001,-1.999886,22;0.854001,-1.999854,22;0.154002,-1.999796,22;-0.545998,-1.999670,22;-1.245997,-1.999646,22;-1.945997,-1.999656,22;
2.951691,-1.999918,23;2.251691,-1.999903,23;1.551691,-1.999881,23;0.851691,-1.999848,23;0.151691,-1.999788,23;-0.548308,-1.999656,23;-1.248308,-1.999632,23;-1.948308,-1.999644,23;
2.949381,-1.999915,24;2.249381,-1.999899,24;1.549381,-1.999877,24;0.849381,-1.999842,24;0.149381,-1.999780,24;-0.550618,-1.999643,24;-1.250618,-1.999618,24;-1.950618,-1.999631,24;
2.947071,-1.999912,25;2.247071,-1.999896,25;1.547071,-1.999872,25;0.847071,-1.999836,25;0.147071,-1.999772,25;-0.552928,-1.999630,25;-1.252928,-1.999604,25;-1.950849,-1.999630,25;
2.944760,-1.999909,26;2.244760,-1.999892,26;1.544760,-1.999868,26;0.844761,-1.999830,26;0.144761,-1.999764,26;-0.555238,-1.999618,26;-1.255238,-1.999591,26;-1.950849,-1.999630,26;
2.942450,-1.999906,27;2.242450,-1.999888,27;1.542450,-1.999864,27;0.842450,-1.999825,27;0.142451,-1.999756,27;-0.557549,-1.999605,27;-1.257548,-1.999577,27;-1.950849,-1.999630,27;
2.940140,-1.999903,28;2.240140,-1.999885,28;1.540140,-1.999859,28;0.840140,-1.999819,28;0.140140,-1.999749,28;-0.559859,-1.999593,28;-1.259859,-1.999564,28;-1.950849,-1.999630,28;
2.937830,-1.999900,29;2.237830,-1.999882,29;1.537830,-1.999855,29;0.837830,-1.999814,29;0.137830,-1.999741,29;-0.562169,-1.999581,29;-1.262169,-1.999552,29;-1.950849,-1.999630,29;
